adapter	sample	outcome	exit	elapsed_ms	peak_rss_bytes	output_sha256	observed_tokens	matched	total	order_errors	geometry_hits	diagnostic
poppler-pdftotext	pdf-training	ok	0	11	9814016	cc48278691a1ce51c4dbd25914534c9d21fe430b57e8b371aeeb3dead68b75fd	TRAINING|PDF|ALPHA|ONE|BETA|TWO	6	6	0	0	none
poppler-pdftotext	pdf-heldout-layout	ok	0	38	9863168	45ca6cb230fa19e88363361204705621a6af5dee56c1293f36a81f0368098bf1	LAYOUT|REPORT|LEFT|A|RIGHT|A|LEFT|B|RIGHT|B|FOOTER|END	12	12	4	4	none
poppler-pdftotext	pdf-malformed	rejected	1	15	8699904	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-	0	0	0	0	parser_error:redacted
mupdf-mutool	pdf-training	ok	0	15	5062656	d96433acbd2ddb5591e633e8f15c9ab3fa646fedda811bb586fe13e6e8cd0fe7	TRAINING|PDF|ALPHA|ONE|BETA|TWO	6	6	0	0	none
mupdf-mutool	pdf-heldout-layout	ok	0	14	5029888	ff89cd5947098445dcedeb4b21071955c641a87fde88a34f1909262f669bae81	LAYOUT|REPORT|LEFT|A|LEFT|B|RIGHT|A|RIGHT|B|FOOTER|END	12	12	0	1	none
mupdf-mutool	pdf-malformed	rejected	1	10	3735552	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-	0	0	0	0	parser_error:redacted
pandoc-docx	docx-training	ok	0	27	43253760	0965be1944dae85dfa679079ebad20458747457f4b26992ff0f40bad53b40c26	TRAINING|DOCX|GAMMA|THREE|DELTA|FOUR	6	6	0	0	none
pandoc-docx	docx-heldout-layout	ok	0	99	43974656	b0a89802d72d0765f62c5d3547d954b457e582539878fb615a6ed15f9549020d	OFFICE|LAYOUT|ROW1|LEFT|ROW1|RIGHT|ROW2|LEFT|ROW2|RIGHT|OFFICE|END	12	12	0	4	none
pandoc-docx	docx-malformed	rejected	63	45	40517632	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-	0	0	0	0	zip_error:redacted
libreoffice-writer	docx-training	isolated_timeout	124	10004	98402304	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-	0	6	0	0	boundary_timeout:redacted
libreoffice-writer	docx-heldout-layout	isolated_timeout	124	10017	98107392	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-	0	12	0	0	boundary_timeout:redacted
libreoffice-writer	docx-malformed	isolated_timeout	124	10015	98172928	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-	0	0	0	0	boundary_timeout:redacted
