method	split	id	cluster
embedding	train	doc:v1:6a3eecc6dfee2e8d1fccf271596f953ad2e450b868927250484dbf0205ac478c	doc:v1:6a3eecc6dfee2e8d1fccf271596f953ad2e450b868927250484dbf0205ac478c
embedding	train	doc:v1:9cac9ef970a159cf9981387f88f1f690bd169efe454ee04f60ee919ecf22c06e	doc:v1:6a3eecc6dfee2e8d1fccf271596f953ad2e450b868927250484dbf0205ac478c
embedding	train	doc:v1:96bbb2e7a61c104915d268c9c85d5928b8a43b2d17ef920a204de13ee8174654	doc:v1:96bbb2e7a61c104915d268c9c85d5928b8a43b2d17ef920a204de13ee8174654
embedding	train	doc:v1:5602161e28baee5edade9c4914eec329a46cf8a95240c3d129cd766e4c63d1e4	doc:v1:96bbb2e7a61c104915d268c9c85d5928b8a43b2d17ef920a204de13ee8174654
embedding	train	doc:v1:1a62fc45bbc7309411a0926f0b6e12aaf36a4098cc3aaff146af4a092c17b2b5	doc:v1:1a62fc45bbc7309411a0926f0b6e12aaf36a4098cc3aaff146af4a092c17b2b5
embedding	train	doc:v1:eba671091f70c4ff5fd6127f24187c91f239e5f4e343b83f2e4eea6f265e7ec2	doc:v1:1a62fc45bbc7309411a0926f0b6e12aaf36a4098cc3aaff146af4a092c17b2b5
embedding	train	doc:v1:1a27df44072bbd256d83edf3c3672b15cca7fb3e826bbf3852e4f420d0db3f6f	doc:v1:1a27df44072bbd256d83edf3c3672b15cca7fb3e826bbf3852e4f420d0db3f6f
embedding	train	doc:v1:328a3bd6e00a958cee92d190c8e5668d1bf7a9dfd9e72970461f2e1c90941092	doc:v1:328a3bd6e00a958cee92d190c8e5668d1bf7a9dfd9e72970461f2e1c90941092
embedding	train	doc:v1:7a5e620bde9d6a4ccba2d216181c39fe94ec7b555aeaa9d46d5f3ea73d8fe7e1	doc:v1:7a5e620bde9d6a4ccba2d216181c39fe94ec7b555aeaa9d46d5f3ea73d8fe7e1
embedding	train	doc:v1:95de2970a58acb3aa95f30a4f5b65414a5c39822d831cf8226bec5e642c25465	doc:v1:95de2970a58acb3aa95f30a4f5b65414a5c39822d831cf8226bec5e642c25465
embedding	train	doc:v1:ec42621b518e0e19433c675a7d0fde4f3912120801c4469b8015650c708f4d5d	doc:v1:ec42621b518e0e19433c675a7d0fde4f3912120801c4469b8015650c708f4d5d
embedding	train	doc:v1:e11621d5ebb4c458eee8a2454c2a6188d4acf089bc72540569319590277d35ac	doc:v1:e11621d5ebb4c458eee8a2454c2a6188d4acf089bc72540569319590277d35ac
embedding	train	doc:v1:27068e649b235c658d2dc1c9a6d60a88a90c6c49bff8a737952510eaf310ea91	doc:v1:27068e649b235c658d2dc1c9a6d60a88a90c6c49bff8a737952510eaf310ea91
embedding	train	doc:v1:fb654efc7ab48dd818fc821d6dce59b22f2754980fd6b0c61fe9e9b3b828e48a	doc:v1:fb654efc7ab48dd818fc821d6dce59b22f2754980fd6b0c61fe9e9b3b828e48a
embedding	train	doc:v1:a481f6c3c619bdefd0d06903bf61ab6f2b636f828d089c44026a37a55fdd77ae	doc:v1:a481f6c3c619bdefd0d06903bf61ab6f2b636f828d089c44026a37a55fdd77ae
embedding	train	doc:v1:a04937135349947d0359debedc73446b581372d0ffcf8c49e3660418e228916d	doc:v1:a04937135349947d0359debedc73446b581372d0ffcf8c49e3660418e228916d
embedding	train	doc:v1:51cfc35e664e5cf55bb0dc253f865aef33c538ad92a8e29d2ca32e57ff2bc41a	doc:v1:51cfc35e664e5cf55bb0dc253f865aef33c538ad92a8e29d2ca32e57ff2bc41a
embedding	train	doc:v1:4e709149be341cf33211d1d8d55c45e45417878331731f8717b59c8c07f3ef45	doc:v1:4e709149be341cf33211d1d8d55c45e45417878331731f8717b59c8c07f3ef45
