embedding-index:v1	model:synthetic:v1	corpus:heldout-high	8
shard-000.tsv	7dc4ee2b5f7e569d196fc005c7eb0027f5d594f7daeb5f65668651ad2dc55e17	8	point:000000	point:000007
shard-001.tsv	76bfc3051264f62d8f7b2656ced2245e8b4fd99417b71aa7f3f99a1710fe2785	8	point:000008	point:000015
shard-002.tsv	d58d15548905f87f9d5465ee7a20fc3723c25f8bd4d92867d25570ad2ecd69ea	8	point:000016	point:000023
shard-003.tsv	71150ddab216d8ead58acd2a6a52be6b569d0c971aa5e68f3b52c59e561a3b04	8	point:000024	point:000031
shard-004.tsv	f7512bb3e648a9859b9455c78aa1242fe5a1f584a5edeb5c07e1339c81cf2e9c	8	point:000032	point:000039
shard-005.tsv	f5842288e707e11026c6a5500fe56f803d01ed7a6aff4efd309940a974d247f4	8	point:000040	point:000047
shard-006.tsv	52ce7e0a3154f4719006f635d280856211d0d6bf0c704bddd38d7be38efbf633	8	point:000048	point:000055
shard-007.tsv	a4ec53190ff186352fc73c040e807e828340ce7b027158ebdfd533f6e322d253	8	point:000056	point:000063
shard-008.tsv	e9ef2ebab2f053ca84c249be8c1f083674055099177edaaec997b50b58bc048e	8	point:000064	point:000071
shard-009.tsv	e88c1980c292281a549be8cb7cd1804863d5ad541267749226104aa1a980b50e	8	point:000072	point:000079
shard-010.tsv	b90ddc391e3743b726ee491892b1a73164ed5701b9d5b2a4fd1ad8a1d3fa8e75	8	point:000080	point:000087
shard-011.tsv	47316fdc8fb01fc6bacbae1317758a724de0925d5eb16e01e699520afa86ad93	8	point:000088	point:000095
shard-012.tsv	01c396373c2736c271c4872417c1a278a10e3f47685331d1e228e218d39e7547	8	point:000096	point:000103
shard-013.tsv	bbb37752f07ae7a6619af4da1b23b522fd3b21d41ff58a916e1dda1e7f4bfaae	8	point:000104	point:000111
shard-014.tsv	3ef12f2afbbcf436acf353d72e5e89aaf5b57e88440e535698ced3daf5835e87	8	point:000112	point:000119
shard-015.tsv	c41ef7a357f2ca86f5585d7b07b33e7e0ed8fa864fdf66485491e538cb2c4349	8	point:000120	point:000127
shard-016.tsv	902e2139561efe44801bfd7bc73f13db7d5b29422846f89e6db0f3f52c6ecbae	8	point:000128	point:000135
shard-017.tsv	bf2b8d48dd79a5256cc8a7115707d59d4edf32d4e4e112ddb3424b44bd9b3d5a	8	point:000136	point:000143
shard-018.tsv	7ce5aff30f3e38b0fb5f1804c6be26ae0fdfd961707732a2944d05da0dc463c0	8	point:000144	point:000151
shard-019.tsv	6d424a81efb2d2b2975b410bec44ca5301cd34907116fd9181f70c74e8af10eb	8	point:000152	point:000159
shard-020.tsv	3667e5fe033983232a1e890402ec3767e89de87bf2fc44f0fc5b30004e355578	8	point:000160	point:000167
shard-021.tsv	74d08c7524db56a4c939d02bc1da0a257947add85c64528b374460d569d7b84a	8	point:000168	point:000175
shard-022.tsv	25d4a102cda3d9bfddc766036f4a7ab55f4edeca1ef1525cb8143a71a0cf304b	8	point:000176	point:000183
shard-023.tsv	52f5d88a26c151de97f9134c0f19db0f9da9da3625e6cf8056667b1a061e6ebf	8	point:000184	point:000191
shard-024.tsv	fe59cd7cf01919ad87286fb2f2c7b8e66723835ae1e0054be9b18e41fcad6f75	8	point:000192	point:000199
