embedding-index:v1	model:synthetic:v1	corpus:heldout-line	8
shard-000.tsv	d4c89bf7b384b7c5affdf7152be07e287a8b8083b565ade69e5ba6d25c4447d0	8	point:000000	point:000007
shard-001.tsv	438d5a382268f96a30251a2684d62ded44e10bb0778969742d4a278300ef6ebe	8	point:000008	point:000015
shard-002.tsv	e2cceb3531ffa6f9a53cb8c77786a9ba5c5411a7fd640e556c05388cb2592455	8	point:000016	point:000023
shard-003.tsv	23846796937fb32683cda6b8255db930b58a98c33e21e0daed588790bba2adde	8	point:000024	point:000031
shard-004.tsv	c8fd7a3bd16797152efe14fe25b0c839bb8952b9feadfab5c8b77d4e7b5c9429	8	point:000032	point:000039
shard-005.tsv	e2bf6352f908782fbd0b8f265954bdcc2d5c162a24f0eec7d95cd2ddcfdcf847	8	point:000040	point:000047
shard-006.tsv	8db15fe8a03da27b52e51339b4a7ec1ca2a21720a9719e49004322f0b5eb17fa	8	point:000048	point:000055
shard-007.tsv	c1d102eefbb270e3feab0dad4c1613f0ab8391dea0d9a7b95938af857f14802c	8	point:000056	point:000063
shard-008.tsv	5fc400a128337d5eb8d7d7eff9d744d41ff9c70dfc5193fed3d925bede9d9dd6	8	point:000064	point:000071
shard-009.tsv	38c8dad4eeb4cd00f32a2bce8b6ee81fabdfec391f01abc0d9a85e749aaf6e76	8	point:000072	point:000079
shard-010.tsv	a18244ec57595d6cc7109acefa046d23348157cc8fd89974f30a14dae0dc0855	8	point:000080	point:000087
shard-011.tsv	79893c697345a14eb7ac47dcaa9e8dcec924e0a0f5db8712f94a10134bf4969d	8	point:000088	point:000095
shard-012.tsv	d38906209c29461068b08b95ae7fa18c1564741566e300af241698569ef7f08e	8	point:000096	point:000103
