embedding-index:v1	model:synthetic:v1	corpus:heldout-plane	8
shard-000.tsv	31526599c3dcf3f3961ab3e47da40dfa259681896bb3a25ca794b981361ebc2a	8	point:000000	point:000007
shard-001.tsv	7ce6c594dfc9f18af1ef89be593e359014f138638141b38f180edfb51327dc79	8	point:000008	point:000015
shard-002.tsv	764fba89f10e48f30678c86c3a90a5f0509e1030e427903f4f729d8f878d4167	8	point:000016	point:000023
shard-003.tsv	fb567f986bae3e9a47f35e9ec63fd2ed2d02b6455d39ffdbd3e4b0b479705cfc	8	point:000024	point:000031
shard-004.tsv	f7dcfc9e417f461160316c98a59125acc4abb69936a79e600ea275a86043e091	8	point:000032	point:000039
shard-005.tsv	ec78e262b28b0a3848d96734e2857d6814db0296132a14d603ae991890ac5dc4	8	point:000040	point:000047
shard-006.tsv	822569c7489c86cbd6a04e8d674215578b8aefc2771014cefaf8b2b64bba8d59	8	point:000048	point:000055
shard-007.tsv	9ecec172dbecad3ec8998cf3cd9ed8f38af7307666789110197c405907aef96b	8	point:000056	point:000063
shard-008.tsv	4ae922595b2d9fc0704348c8537b83b70ec728ef0f5dd9f4ac74f379c61db974	8	point:000064	point:000071
shard-009.tsv	4889fae5958232c4f843ff97ed41a3a37a3c58549b9138389053c98c37eb9ed0	8	point:000072	point:000079
shard-010.tsv	9df21f2ef8f1ac07efb079ddf208c19652714cd716b60f702c56e379ba89c3d3	8	point:000080	point:000087
shard-011.tsv	3a8bcb923cc942d5ba58205f8e1dbe344d58d7c31e5eefe9a10b6bb5fef203cd	8	point:000088	point:000095
shard-012.tsv	40a50190943143f8f4dc7d7e44f0aff35d7b05e35a3d426378bccce7c03d7f41	8	point:000096	point:000103
shard-013.tsv	eca660d896c90ff482b73d72d258966e0a53593178f5af69296627f947e44636	8	point:000104	point:000111
shard-014.tsv	f1d4f3e3f07e708cf85ace95852f64de7432cf799480478f8bf07f981b6a7aca	8	point:000112	point:000119
shard-015.tsv	3681bb896407a18908376d586e5ce9d2f9a5255bbb68e09ae6a4993376b6b6fe	8	point:000120	point:000127
shard-016.tsv	081145fe80f35704c7ab66519146c463720ad151780083b6097d309269efd386	8	point:000128	point:000135
