embedding-index:v1	model:synthetic:v1	corpus:material	8
shard-000.tsv	0af4b2e21a00e9ecf8213cc24170d4ecfb86824d58532bbe4c4ccfe1a79a2c17	8	point:000000	point:000007
shard-001.tsv	31e735c11fbf5c640eca399b17d8ce8b749fc05072f1f2085a133cbfa6161577	8	point:000008	point:000015
shard-002.tsv	5cec98f0fd45c99e967e2c1629867d15739cd8fab2b5e13cb8a063af43daf07c	8	point:000016	point:000023
shard-003.tsv	4b85fe6c258dd5756ee0419ee781fcaacbc490d34357785f4af7d0d1930f3a7b	8	point:000024	point:000031
shard-004.tsv	e5786ce5e27f477bcf241fa9bc77a82e915b7765954f3f6d54660bdb376c001c	8	point:000032	point:000039
shard-005.tsv	5032f3d0c24b91d1de46e72ca7c2e944da90df77b7320c8c895b6da518470411	8	point:000040	point:000047
shard-006.tsv	fbca9f0f5e906ed9654670936a38eca707f32d91a2c98b3a19020d0f1297a817	8	point:000048	point:000055
shard-007.tsv	d0e126aeb8b6801416b57335678cef267c34f52a133ec0134d6ad77bc5f3182d	8	point:000056	point:000063
shard-008.tsv	90dcf1a9b6ea1e4fb19847bdd9e558ccd3f5ce8ddb4a48e5c33d2e82b4de83ce	8	point:000064	point:000071
shard-009.tsv	4c4342ea48eff9ea34ef8b086f9edd25993893d9f03128d4711b965bf02ddce3	8	point:000072	point:000079
shard-010.tsv	0b1c86abf54c5a10f93be0b8fb2959b54eba741c56d7956603f3e497e6dee176	8	point:000080	point:000087
shard-011.tsv	c938592c6230b968a80efb6b1b654a351db6a662dbc60ee917ff69652a0c55df	8	point:000088	point:000095
shard-012.tsv	735a26f42211e89130934252dbbc523976ff4d6fc9773b71e7c1b853af17c87f	8	point:000096	point:000103
shard-013.tsv	683362c9a420bc1a0a2d76b1590924abd24d94f79751313b61eafa022f90687a	8	point:000104	point:000111
shard-014.tsv	0dec793a5ea70d32f7619c8df770222c80b5be59a2d3ec8596e45e55bdd1888c	8	point:000112	point:000119
shard-015.tsv	d653abda50cf151c980d71a60c9210b488f425e742039ec1d3bed049364e03b8	8	point:000120	point:000127
shard-016.tsv	ad2ee4be121a6c534ebc3960a2e6d656a62c0a4cef3b9e2e92ef3cd10137b026	8	point:000128	point:000135
shard-017.tsv	7fb7b6d52c23cd631876a30100f11ab1f1047107a85b12819abef44c55e3fbc2	8	point:000136	point:000143
shard-018.tsv	091ca1b0d97158e2538fec47e03d02dc55283441aaf7f9be2c0af73d7ca7c9c3	8	point:000144	point:000151
shard-019.tsv	0cd7c48fa5699cef42e9e7d9ff2c40dbc809b217d208c32ef02d11c6365037d9	8	point:000152	point:000159
shard-020.tsv	daf9eb6a6715bee36c59eef02dc6385b25388d0d91131e2d2f56ffb56a6e761e	8	point:000160	point:000167
shard-021.tsv	e95bfe326b3e5bb7402c0bcf9017b20e54152ad6cc2edff5ef29bff7b091e53d	8	point:000168	point:000175
shard-022.tsv	0d6940545df63258846d4db041df83c87d065aa06c1157ccbbe9bd58ea2eec37	8	point:000176	point:000183
shard-023.tsv	33ad3a9e7fc2d35fe7e046cc791ade34bb80247fd6f7e6b96fe43239f92467f7	8	point:000184	point:000191
shard-024.tsv	76a6fdde66184e06e613c976a8eb90fe6b4d7867f645f30f2c5ae77d839ee4c8	8	point:000192	point:000199
shard-025.tsv	69ae582ff2024b81acbe5ef7d6710bdb9d5c3f9d1a057f05a0203e935cb0588c	8	point:000200	point:000207
shard-026.tsv	9802eaeaf4946c9701cbce0266ccdd32f1dcb92ebe6a4cff831ee1c5bec6cc4f	8	point:000208	point:000215
shard-027.tsv	4f25ce01d509fd2e80d6882adabc187078e103b85fc6336bd44a93386088a4a1	8	point:000216	point:000223
shard-028.tsv	fb3c60640a56a76c075c86caf05e4d4e86ba6e4628ce2dbcfda2ca71cf9412aa	8	point:000224	point:000231
shard-029.tsv	e45f679524415c92351d4242f35aed26da4a5b608b65e297d3b3970df3357aa9	8	point:000232	point:000239
shard-030.tsv	1e49fca150480b201250ebf4a1c25195d1d9e163b90c17025fbd5d2327ef7d02	8	point:000240	point:000247
shard-031.tsv	1abf6b70198a41e84c5bf0110042e65e2b6515bbbe32df25902b5ca85281f583	8	point:000248	point:000255
shard-032.tsv	bf0f51464f9296bf57fe1bc4cea95c46eb71ff08b12fd7620b468be1964fa968	8	point:000256	point:000263
shard-033.tsv	26ded4f0cae9e2a51ef38eb45a032ff64af65fd271146f202dee4952a0cccecd	8	point:000264	point:000271
shard-034.tsv	bde312dbd57df359df89bba79d7722c068a1a6cf122987f877105263a9cc80cb	8	point:000272	point:000279
shard-035.tsv	0667e7891ef5790f3993658611a8611487b5a367f49da52b4587d117fbc7812b	8	point:000280	point:000287
shard-036.tsv	b141dee23fc0b1bf08faa6531a6d5269c0e668805ff6f5ac2caae93b89a77452	8	point:000288	point:000295
shard-037.tsv	c2e93b175193595564f4ce3baa26aa7897796f6dffbdb3cfb5db3dd4c549f380	8	point:000296	point:000303
shard-038.tsv	8a5c0f3bce336cd09e1c6492a2b3f150d284ca71c68f0e4ede8931aa1e2cd4c9	8	point:000304	point:000311
shard-039.tsv	c8ab11a9cdaa966a9117bdf0f700044907e2b21928a9f944a24f4b0548c6a5b1	8	point:000312	point:000319
shard-040.tsv	11805b59537b37f0856035106f7c7cb3ed50d3c0099906441eb7e5a54f1a1832	8	point:000320	point:000327
shard-041.tsv	75a585a814b16ffbafb822422e7b679c4993682aada82a1f71857dc3dad89017	8	point:000328	point:000335
shard-042.tsv	20f53ef79073638435daa1a2becc8caedf2e3198ef442d4c9f97c3f982ba1326	8	point:000336	point:000343
shard-043.tsv	22cea90e413a549cc65e1bd839b649587ed232b1581b2e45597797feb95820a6	8	point:000344	point:000351
shard-044.tsv	bb6e6138d38b9aa4bfa19b29ad488215437e028e2e5519aaa272c194fc4652c9	8	point:000352	point:000359
shard-045.tsv	1f397c43b5422693bce476e7bdeb6d50385248654e6f90873eb66e1f9398efe5	8	point:000360	point:000367
shard-046.tsv	cd507850f8e2d2e3ff9a52c96f8409160db4b52e50399f052ef4cf4643f66185	8	point:000368	point:000375
shard-047.tsv	99660c88427d726fba90c32fe60c60161c821714c815d64817631ab71380ce4e	8	point:000376	point:000383
