embedding-index:v1	model:synthetic:v1	corpus:train-high	8
shard-000.tsv	4f96addf777f38eb07e87bb33cfeade563bbd0c9161efcfe53e1e8f88b3bfc63	8	point:000000	point:000007
shard-001.tsv	790311f2ac62213c7043e05a2b3300efd1794be854d18cca7e123a53c1d3a05e	8	point:000008	point:000015
shard-002.tsv	94d39bb33771d8a7d292e7bbfc1333d044d767c909b5540f69e75a3fc20e7ba6	8	point:000016	point:000023
shard-003.tsv	1f560566032970dd962d0693aac4da21152ca42378580ce92a64289495b863f5	8	point:000024	point:000031
shard-004.tsv	4bf8d6689fbdbd29753a6c3ae73f47fdc958dd4cb86486c607c29e89ea231c95	8	point:000032	point:000039
shard-005.tsv	69b3871332d8facd7ef7ff55b384636434aa6ac3ec629b8c7cb04a3d3aacdfdd	8	point:000040	point:000047
shard-006.tsv	902b13a190cabecafa973d60e0c90a0a4ff79b1841475db8756505a066f5905b	8	point:000048	point:000055
shard-007.tsv	a427cdbeb6c86155ddcb4bada2e18069252b731708b846d5d308629290e2e69b	8	point:000056	point:000063
shard-008.tsv	396c6e4c2b461d9955f60fe6e013e4fe9ac16e694aeb02e92ed9f58f9367047b	8	point:000064	point:000071
shard-009.tsv	18ebc6b8f5a73b31ea8ee2cc4a9df405de29797bff29bb87d30bba0986f409e5	8	point:000072	point:000079
shard-010.tsv	b57ce64e190895b37053fa46a9ed1594523809b1579a890f56fe918ef089c97b	8	point:000080	point:000087
shard-011.tsv	7221526a177b90828cef63fbc4ff29082f62c67fad4c05e5e680d83e3013a58f	8	point:000088	point:000095
shard-012.tsv	db798dbf85c22d1a5583371ab6b044688c89c17ae7869ed1e399ca73d84f399d	8	point:000096	point:000103
shard-013.tsv	58dd4d85fbadc020151adf4c1f36474c3ce7544ace6f8ff460f46d2d06e0f623	8	point:000104	point:000111
shard-014.tsv	8297b6e51b7ac7b28995c9a6764c100cd3168b4dc2dd610c999968e1b0325697	8	point:000112	point:000119
shard-015.tsv	5f29e5427ec0853e2c2a099c684ae13c83bce88bcfc23457ec701eb5f18f646a	8	point:000120	point:000127
shard-016.tsv	047977a78de5a44fb341edb32bb0b1fa81f9ed413a1dd06ad825208c21e8ae3f	8	point:000128	point:000135
shard-017.tsv	db5b6ee8f145742c4c4bd115b4be804bff3c8e40cac6b71825ed7c1de3e6a4c4	8	point:000136	point:000143
shard-018.tsv	ab84673c4bc3649dec76370b9dc9dbfee8295bd6182161d529fbe6905f418c1b	8	point:000144	point:000151
shard-019.tsv	ee7bef641b76c043663fb32f603de3a1899d1e88f986fc24f9dfd54ef70805da	8	point:000152	point:000159
shard-020.tsv	6d6f962a35e2b0387d596591d5a68d0dc546cd5c572d7306b6853e2cb59cd1a1	8	point:000160	point:000167
shard-021.tsv	9c0621b72504929febdec51ec0332266062d668f44be4960c6177882cfb9ce2c	8	point:000168	point:000175
shard-022.tsv	35ea0579c4e7c7a38246a93ca3968940f134dbb79cc55ae2c0daf5400611b00a	8	point:000176	point:000183
shard-023.tsv	aed41709ce18ee8d4651d55171a3ac1e0e08b167986d640fe32923f19f0f25e6	8	point:000184	point:000191
