embedding-index:v1	model:synthetic:v1	corpus:train-line	8
shard-000.tsv	1763bbd1d5576ed9957696fe1f5df3fbca8232a443c452d97e60d8e6ab533653	8	point:000000	point:000007
shard-001.tsv	c1f1536a08db931c0ecc5a9b03781629a27cffabc63320ba3703c449dddc2ced	8	point:000008	point:000015
shard-002.tsv	c9d314ab61eeeabb8ce9c46d62474411e2f83c0abd326bfafc1360c4719c5d34	8	point:000016	point:000023
shard-003.tsv	6afea8e9bb233682c1e5f76280e65a5ddd413f86f28f4181a716c32b8d181b46	8	point:000024	point:000031
shard-004.tsv	0ccb4a75b5d2e6f3bb0cfd5563fd4ec9413a7e3a9308e35a72a35e91fb400ad2	8	point:000032	point:000039
shard-005.tsv	de6371a9c3663587cf6ba542364e18c2035bed5390fd052ae77085b02a8c0f75	8	point:000040	point:000047
shard-006.tsv	7ab0e89498f5ce306678d0cdaaf63b3bb70310546304b4e004843daaf2eb48e5	8	point:000048	point:000055
shard-007.tsv	318aca1509b3dc6583e8a6491b3057a9d25f4c2d31128cc6b51e1435c6868455	8	point:000056	point:000063
shard-008.tsv	cfd47d115b2bcedb8680b3fcf61b49b05a52a75ef6ebf9a7c3a7136f53c452c6	8	point:000064	point:000071
shard-009.tsv	7b905e453d0624ef9df69a2fae2551fabdd6e59c9204ccd3a040a6d25df761f7	8	point:000072	point:000079
shard-010.tsv	84acd437668fe4bb5e1370798d1ade0ef20f8b1e471b826e7b927283cf4c8088	8	point:000080	point:000087
shard-011.tsv	d48307d5480c564b1b5b1fa8ac985074207f010259e062539e4765df4a99b41e	8	point:000088	point:000095
