embedding-index:v1	model:synthetic:v1	corpus:train-plane	8
shard-000.tsv	300d9dd8fd0ec0512e1601a419d4f8a1601cbcf03bde9739d84a8820b8caf3b0	8	point:000000	point:000007
shard-001.tsv	bbd372eefff3360cbf49df396312bba64513bb20f7fe3a7efbd4a1983a7a0bbb	8	point:000008	point:000015
shard-002.tsv	c873961eb3b666b21f28e53e0327ac42d04a2485b1b2d82016571d140e7beabe	8	point:000016	point:000023
shard-003.tsv	869f5b4a02fd58d4d390848836f70168e1eb00d263b07e1b19f64ca784bcdd9c	8	point:000024	point:000031
shard-004.tsv	e83b7f884f89083768d8aad28e49399623fc91916b31cb7f428c262993a7f891	8	point:000032	point:000039
shard-005.tsv	2699db182ab765bec834d77002435b0045ea82ad5e722b5bfdc4eb0f6be151f2	8	point:000040	point:000047
shard-006.tsv	f751e561fe8a46b1a195a48a74b40a50f021f70e2fdb7855560da1f6344f96ad	8	point:000048	point:000055
shard-007.tsv	df76dafd2d1e4617a6922bcf6c0f5f324817e232454c4b9fcd18a425d939001b	8	point:000056	point:000063
shard-008.tsv	59cbc236e4210293cd682c0b336e1372deefe70f2eaeebb47aef8f5920d0e032	8	point:000064	point:000071
shard-009.tsv	af94a82d81cfb51cef65726024f486d876a96914738351d17698c347837fb35d	8	point:000072	point:000079
shard-010.tsv	56026dc139bc8cbd50b10f6ce815b8e2de9fdf6c19a568b4c5a8da1e286467c7	8	point:000080	point:000087
shard-011.tsv	bc428f0b710886cba14673781f09022d156ee1052cf9c8838f591863b43021a4	8	point:000088	point:000095
shard-012.tsv	fc7db191d745db3bd8c1ad3a78aa94fce96b7c98b59205cd268716de1342bd27	8	point:000096	point:000103
shard-013.tsv	0b831aae4e9388aab1a44e69f0f0fe4e9c86c5ad0d29ea1bb88e509868b88a44	8	point:000104	point:000111
shard-014.tsv	b386c220e95e44c03faa67b8080df5a6f00544f0b4974a4e458ae177262a51ba	8	point:000112	point:000119
shard-015.tsv	71f6011f978a7e9f233f7627f950d6482ec8150d66b1e501c84a8d4924643ae6	8	point:000120	point:000127
