github.com/antithesishq/antithesis-sdk-go	v0.8.0-default-no-op	MIT
github.com/klauspost/compress	v1.20.0	Apache-2.0 AND BSD-3-Clause AND MIT
github.com/minio/highwayhash	v1.0.4	Apache-2.0
github.com/nats-io/jwt/v2	v2.8.2	Apache-2.0
github.com/nats-io/nats-server/v2	v2.15.0	Apache-2.0
github.com/nats-io/nkeys	v0.4.16	Apache-2.0
github.com/nats-io/nuid	v1.0.1	Apache-2.0
golang.org/x/crypto	v0.57.0	BSD-3-Clause
golang.org/x/sys	v0.48.0	BSD-3-Clause
golang.org/x/time	v0.16.0	BSD-3-Clause
stdlib	go1.27.1	NOASSERTION
