page_id	block_id	label	kind
docs-guide-h1	nav	chrome	navigation
docs-guide-h1	code	content	code
docs-guide-h1	structured-list	content	structured-list
docs-guide-h1	account	chrome	account-control
docs-guide-h1	timestamp	chrome	timestamp
docs-guide-t1	nav	chrome	navigation
docs-guide-t1	code	content	code
docs-guide-t1	structured-list	content	structured-list
docs-guide-t1	account	chrome	account-control
docs-guide-t1	timestamp	chrome	timestamp
docs-guide-t2	nav	chrome	navigation
docs-guide-t2	code	content	code
docs-guide-t2	structured-list	content	structured-list
docs-guide-t2	account	chrome	account-control
docs-guide-t2	timestamp	chrome	timestamp
docs-guide-t3	nav	chrome	navigation
docs-guide-t3	code	content	code
docs-guide-t3	structured-list	content	structured-list
docs-guide-t3	account	chrome	account-control
docs-guide-t3	timestamp	chrome	timestamp
news-article-drift-h1	nav	chrome	navigation
news-article-drift-h1	body	content	article
news-article-drift-h1	meaningful-table	content	table
news-article-drift-h1	ad	chrome	advertisement
news-article-drift-h1	footer	chrome	footer
news-article-h1	nav	chrome	navigation
news-article-h1	meaningful-table	content	table
news-article-h1	citation	content	citation
news-article-h1	recommendation	chrome	recommendation
news-article-h1	footer	chrome	footer
news-article-t1	nav	chrome	navigation
news-article-t1	meaningful-table	content	table
news-article-t1	citation	content	citation
news-article-t1	recommendation	chrome	recommendation
news-article-t1	footer	chrome	footer
news-article-t2	nav	chrome	navigation
news-article-t2	meaningful-table	content	table
news-article-t2	citation	content	citation
news-article-t2	recommendation	chrome	recommendation
news-article-t2	footer	chrome	footer
news-article-t3	nav	chrome	navigation
news-article-t3	meaningful-table	content	table
news-article-t3	citation	content	citation
news-article-t3	recommendation	chrome	recommendation
news-article-t3	footer	chrome	footer
news-gallery-h1	nav	chrome	navigation
news-gallery-h1	body	content	article-series
news-gallery-h1	caption	content	caption
news-gallery-h1	ad	chrome	advertisement
news-gallery-h1	cookie	chrome	cookie-control
news-gallery-t1	nav	chrome	navigation
news-gallery-t1	body	content	article-series
news-gallery-t1	caption	content	caption
news-gallery-t1	ad	chrome	advertisement
news-gallery-t1	cookie	chrome	cookie-control
news-gallery-t2	nav	chrome	navigation
news-gallery-t2	body	content	article-series
news-gallery-t2	caption	content	caption
news-gallery-t2	ad	chrome	advertisement
news-gallery-t2	cookie	chrome	cookie-control
news-gallery-t3	nav	chrome	navigation
news-gallery-t3	body	content	article-series
news-gallery-t3	caption	content	caption
news-gallery-t3	ad	chrome	advertisement
news-gallery-t3	cookie	chrome	cookie-control
sparse-h1	nav	chrome	navigation
sparse-h1	body	content	report
sparse-h1	infobox	content	infobox
sparse-h1	cookie	chrome	cookie-control
sparse-h1	footer	chrome	footer
sparse-t1	nav	chrome	navigation
sparse-t1	body	content	report
sparse-t1	infobox	content	infobox
sparse-t1	cookie	chrome	cookie-control
sparse-t1	footer	chrome	footer
