page_id	split	origin	family	revision	path	file	sha256
docs-guide-h1	heldout	https://docs.example	guide	v1	/guides/delta	docs-guide-heldout.html	4d6dba2b67d5896845b5bc00392313b15f6ea382ad5c97ebd44942dd608ace8d
docs-guide-t1	train	https://docs.example	guide	v1	/guides/alpha	docs-guide-train-1.html	2ae0c61fed70bc8dbac88cbe11fa7c79a516d12f014d5fb3e081b68d5404dfd7
docs-guide-t2	train	https://docs.example	guide	v1	/guides/beta	docs-guide-train-2.html	574c6ac1b9a84fd9e508032679e70ee156b9322881dd131b6192a2163d7871e8
docs-guide-t3	train	https://docs.example	guide	v1	/guides/gamma	docs-guide-train-3.html	354dc4b5440021dae56dcaae0a6384a2c84374dc71244c3807d381743f2268f2
news-article-drift-h1	heldout	https://news.example	article	v2	/story/redesign	news-article-drift-heldout.html	c3aa5c214a8b88b21be065dcd7495dce3c90e07a8c4e552d68c8344f54ae3758
news-article-h1	heldout	https://news.example	article	v1	/story/delta	news-article-heldout.html	bce6f346db6e7f0f63d747dcd91c9ebf7d5d82f0db14e82fb8eff9506551ec92
news-article-t1	train	https://news.example	article	v1	/story/alpha	news-article-train-1.html	ed78602e7ec08db9425bc409b1788e29f56d796166471077788b446bbc7731b5
news-article-t2	train	https://news.example	article	v1	/story/beta	news-article-train-2.html	9b528f901753de2cfac2c665a3c78fe494cb7e3aa9694542a7931f5b5c9ccf59
news-article-t3	train	https://news.example	article	v1	/story/gamma	news-article-train-3.html	e5bb62223c0270a873147b78d2d7e4e7b05ea4d05ed36a9f1bfca58819778811
news-gallery-h1	heldout	https://news.example	gallery	v1	/photos/delta	news-gallery-heldout.html	9f3b4e638f357e2a4b6422ff5caa3bd9be66cf46e9e5bc44f495462101608c3d
news-gallery-t1	train	https://news.example	gallery	v1	/photos/alpha	news-gallery-train-1.html	373107c2d85094bd6a7c906c0de7482785d66cc99d04945c77fff0b50fef2dba
news-gallery-t2	train	https://news.example	gallery	v1	/photos/beta	news-gallery-train-2.html	d5fa4017495495fc7405d9f859fc5e0f33155fda9cd71dda850d0fe2f1b5edc9
news-gallery-t3	train	https://news.example	gallery	v1	/photos/gamma	news-gallery-train-3.html	c372f7db674e1886d0057186820f68fa497a4a10f778c2efb4430ed624a80ccd
sparse-h1	heldout	https://reports.example	report	v1	/reports/two	sparse-heldout.html	e850304f1aa6ba89a22edc9529167e89e563f538d013e5a2f0b62ef1a9d15e72
sparse-t1	train	https://reports.example	report	v1	/reports/one	sparse-train-1.html	409ef01203e19d27fcc882e9e7ac54d18776f177f0355f30d3a5fbb13f0f8a3a
